instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-272,4,904,yes,15738,0,0,1008,0,25288,0,64,840,0,904,0,115.054,698105625
i-083,4,394,yes,4564,12,8,5120,50,10290,0,324,0,0,394,0,62.0166,215461748
i-250,1,12,yes,31464,0,0,2315,0,17689,0,12,0,0,12,0,138.834,226723783
i-406,0,1344,yes,23016,0,0,381,224,3500,0,0,1120,0,1344,0,69.5155,1934368763
i-250,4,14,yes,31392,0,0,1270,0,12985,0,14,0,0,14,0,135.671,498202423
i-083,5,365,yes,4726,18,12,3768,47,10080,0,288,0,0,365,0,61.3897,2992020879
i-272,1,760,yes,15768,0,0,884,0,24070,0,160,600,0,760,0,116.634,2591742195
i-126,2,8759,yes,31338,783,93,2728,4140,3760,0,1343,2400,0,8759,0,132.799,2992702892
i-406,8,1089,yes,22672,0,0,213,529,4300,0,0,560,0,1089,0,70.1665,940014046
i-406,1,1238,yes,23200,8,6,243,384,3150,0,0,840,0,1238,0,67.8278,129190851
i-272,5,848,yes,16320,0,0,504,0,24940,0,128,720,0,848,0,118.141,3615499598
i-083,6,495,yes,4552,81,44,4224,22,8050,0,348,0,0,495,0,60.3124,2777704532
i-263,3,150,yes,52624,0,0,9160,0,4005,0,150,0,0,150,0,193.523,1099259638
i-406,9,1278,yes,23448,0,0,63,438,5400,0,0,840,0,1278,0,68.1345,1093002118
i-406,2,1255,yes,24392,0,0,336,415,1800,0,0,840,0,1255,0,67.9778,4171244075
i-083,7,373,yes,4412,9,12,5752,40,8015,0,312,0,0,373,0,59.4533,915797131
i-272,2,744,yes,16479,0,0,1014,0,21344,0,144,600,0,744,0,118.675,3975057625
i-250,5,8,yes,31206,0,0,2105,0,12397,0,8,0,0,8,0,139.474,3731079258
i-126,3,7956,yes,32298,414,49,1896,3944,3337,0,1309,2240,0,7956,0,133.389,2842467105
i-272,6,744,yes,15864,0,0,1027,0,23606,0,144,600,0,744,0,116.873,3321014724
i-406,3,1220,yes,22744,0,0,321,520,2450,0,0,700,0,1220,0,68.4372,2543397905
i-406,4,1218,yes,23008,4,3,216,371,4100,0,0,840,0,1218,0,68.3512,1636851832
i-272,3,744,yes,16794,0,0,716,0,21518,0,144,600,0,744,0,121.425,3758284294
i-272,7,624,yes,16521,0,0,960,0,21634,0,144,480,0,624,0,117.774,1478390571
i-250,6,18,yes,31356,0,0,4045,0,12495,0,18,0,0,18,0,135.474,1707244229
i-263,4,144,yes,52080,0,0,9330,0,5025,0,144,0,0,144,0,198.958,2091158736
i-126,4,9395,yes,31530,1605,168,2744,3988,5264,0,1394,2240,0,9395,0,135.377,3259022779
i-406,5,1199,yes,22424,0,0,246,359,2500,0,0,840,0,1199,0,69.4023,2383651463
i-406,6,1277,yes,23232,0,0,216,437,2550,0,0,840,0,1277,0,69.2072,226279985
i-272,8,816,yes,16467,0,0,908,0,20880,0,96,720,0,816,0,116.659,3500719603
i-185,0,1116,yes,20504,0,0,11430,0,19425,0,1116,0,0,1116,0,297.666,2593816276
i-054,4,1277,yes,55424,285,228,4030,364,11775,0,120,280,0,1277,0,140.914,481659797
i-250,7,12,yes,31068,0,0,2840,0,9947,0,12,0,0,12,0,136.133,309048738
i-185,6,1062,yes,20668,0,0,12108,0,18611,0,1062,0,0,1062,0,293.898,3918657766
i-126,5,8217,yes,32358,375,34,1816,4276,2538,0,1292,2240,0,8217,0,137.802,2137934730
