instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-416,8,25196,yes,23996,1456400,3048,0,37808,1200,0,1104,0,1890,25196,0,210.191,2665384520
i-054,0,60522,yes,35672,152910,3804,400,27384,24450,0,160,2800,200,60522,0,110.811,1024667793
i-416,2,25672,yes,24472,1387150,2908,0,38272,1200,0,1084,0,1960,25672,0,209.465,3085594777
i-164,7,55246,yes,27648,219885,2871,210,21624,27388,0,308,0,0,55246,0,119.683,3647731079
i-175,8,31787,yes,4978,283842,541,20,1644,26789,0,2358,0,0,31787,0,331.137,4227074017
i-360,1,38762,yes,30192,55518,2400,710,14910,7860,0,1060,7400,200,38762,0,123.922,3481176424
i-054,1,64751,yes,36376,155600,3308,250,32410,28125,0,156,2800,50,64751,0,105.996,571525348
i-164,8,57711,yes,26793,251775,2628,168,27696,30750,0,336,0,70,57711,0,117.965,3248335967
i-185,4,19742,yes,8228,199450,1296,81,552,11433,0,4680,4000,90,19742,0,223.663,861309424
i-360,2,38764,yes,29304,73544,2716,400,20034,9060,0,1040,7400,350,38764,0,119.894,3260897065
i-416,9,25483,yes,24283,1347560,2644,0,37776,1200,0,1072,0,1960,25483,0,216.001,2671278681
i-054,2,62961,yes,35936,121450,3900,100,26558,26925,0,164,2520,0,62961,0,107.987,1147714819
i-416,3,24314,yes,23114,1611910,3240,0,38936,1200,0,1092,0,1960,24314,0,212.052,2589849236
i-164,9,58350,yes,27468,213190,2274,132,23416,30750,0,294,0,0,58350,0,115.805,62165188
i-247,0,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,19.718,1941016030
i-247,1,20291,yes,397,984,272,0,147,19894,0,0,2160,60,20291,0,20.1265,1284546359
i-175,1,32510,yes,4188,279621,409,20,1566,28302,0,2376,0,0,32510,0,315.518,2254782292
i-360,3,38874,yes,29784,60968,2420,350,17304,8740,0,1100,8000,300,38874,0,120.161,845959553
i-164,0,54570,yes,27558,211305,2022,198,21464,26814,0,322,0,0,54570,0,118.808,3006686881
i-054,3,65492,yes,35192,187700,3588,150,37408,30150,0,172,2520,150,65492,0,111.022,1267572263
i-167,2,11871,yes,8244,34896,1900,0,0,3627,0,369,1440,0,11871,0,35.8002,3478332350
i-175,9,34412,yes,3954,365985,581,20,3502,30438,0,2232,0,120,34412,0,315.094,2031444428
i-116,0,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,12.9593,1262043498
i-116,1,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,7.24451,1587545440
i-167,3,13065,yes,7485,32800,1450,0,7,5580,0,396,1680,0,13065,0,31.0925,1198828595
i-116,2,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,7.04538,2140751240
i-116,3,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,7.24847,3850612305
i-185,5,19567,yes,7976,169920,1356,84,273,11507,0,4680,4500,0,19567,0,217.658,3006917699
i-116,4,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,9.35047,1097632507
i-116,5,12177,yes,434,4808,1075,7,0,11736,0,0,400,0,12177,0,7.10267,1201219249
i-360,4,35583,yes,27328,55022,3196,575,14262,7680,0,1060,7800,200,35583,0,121.195,527064962
i-167,4,13317,yes,7701,28936,1655,36,0,5580,0,414,1800,0,13317,0,37.2223,3981447517
i-416,4,26337,yes,25137,1395760,3618,0,37352,1200,0,1112,0,1750,26337,0,203.523,4086392310
i-164,1,57202,yes,25092,312415,3714,48,29584,32062,0,280,0,140,57202,0,105.21,960756382
i-167,5,14145,yes,6798,27584,1670,0,0,7347,0,396,1680,0,14145,0,47.9648,366529359
i-360,5,38027,yes,30712,44226,2192,615,10386,6700,0,1090,7600,100,38027,0,67.1328,499829533
i-164,2,56796,yes,25920,235470,2649,126,25608,30750,0,294,0,0,56796,0,59.0433,1543407428
i-167,6,11241,yes,8451,30576,1775,0,77,2790,0,396,1200,0,11241,0,49.0639,3915519510
i-175,2,32502,yes,3646,332775,454,20,2116,28836,0,2322,0,60,32502,0,235.311,1743196547
i-164,3,56124,yes,25326,234545,2277,48,28480,30750,0,252,0,70,56124,0,60.3266,2712751121
i-416,5,26078,yes,24878,1346250,3478,0,35488,1200,0,1068,0,1750,26078,0,129.768,2521459507
i-360,6,39848,yes,27048,70242,2528,800,21054,12000,0,1070,7800,550,39848,0,73.9229,4093341818
i-167,7,11799,yes,7800,38160,2010,0,14,3999,0,423,1680,0,11799,0,39.0482,1950981267
i-167,8,12219,yes,7476,37872,1905,0,0,4743,0,441,1560,0,12219,0,25.9803,393818934
i-167,9,13002,yes,7413,36968,1700,9,0,5580,0,378,2040,0,13002,0,25.2529,1035481341
