instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-406,5,560,yes,26272,0,0,1041,1555,11500,0,0,560,0,560,0,73.0161,3135862531
i-054,4,565,yes,63992,285,228,13870,17045,15450,0,52,0,0,565,0,141.198,1188004410
i-406,6,560,yes,27256,0,0,882,1644,11400,0,0,560,0,560,0,71.9335,1645508995
i-185,0,1080,yes,20184,0,0,12048,303,18056,0,1080,0,90,1080,0,288.047,1265797996
i-250,7,12,yes,32076,0,0,3060,18,14651,0,12,0,0,12,0,132.407,2000821625
i-272,8,640,yes,16203,0,0,717,90,26854,0,160,480,60,640,0,121.232,1099663396
i-185,6,1062,yes,20160,0,0,10602,186,22200,0,1062,0,90,1062,0,300.025,4039320849
i-406,7,560,yes,27192,0,0,861,1378,5700,0,0,560,0,560,0,72.4869,649458614
i-126,5,976,yes,44868,0,0,5688,17340,3008,0,816,160,0,976,0,152.344,1420152087
i-263,5,140,yes,55272,0,0,9745,2490,4410,0,140,0,0,140,0,201.028,2777822379
i-414,2,220,yes,20304,40,20,2800,190,12600,0,160,0,0,220,0,60.448,2742109360
i-054,5,581,yes,61560,285,228,15080,16667,16425,0,68,0,0,581,0,142.054,1617344318
i-272,9,744,yes,16563,0,0,851,80,31262,0,144,600,60,744,0,119.243,1003634499
i-250,8,8,yes,30282,0,0,3180,51,15435,0,8,0,0,8,0,133.583,3707521203
i-414,3,538,yes,19989,264,84,2940,360,14056,0,190,0,0,538,0,59.419,3269397881
i-126,6,932,yes,43614,0,0,8864,17820,5499,0,612,320,0,932,0,147.907,1542543179
i-414,4,1136,yes,21996,784,172,2465,685,11032,0,180,0,0,1136,0,60.194,3475026575
i-250,9,16,yes,31740,0,0,2935,0,12054,0,16,0,0,16,0,135.932,1880980151
i-054,6,569,yes,63856,285,228,14970,17157,14100,0,56,0,0,569,0,147.51,2824316142
i-126,0,870,yes,42990,84,14,7056,17248,7003,0,612,160,0,870,0,149.008,1207635119
i-185,1,1062,yes,19980,0,0,12885,507,15947,0,1062,0,0,1062,0,288.899,1524534772
i-316,0,518,yes,2625,292,96,730,42,7259,0,130,0,0,518,0,32.9993,1417411930
i-414,5,664,yes,20448,384,100,2880,535,15400,0,180,0,0,664,0,59.3242,2272593243
i-263,6,146,yes,56312,0,0,9540,2430,4320,0,146,0,0,146,0,204.494,2269934620
i-185,7,1080,yes,20516,0,0,10497,261,16946,0,1080,0,90,1080,0,297.467,1731163864
i-316,1,323,yes,2571,112,81,830,84,7208,0,130,0,0,323,0,32.4817,3423208760
i-126,7,772,yes,43434,0,0,5056,17012,4371,0,612,160,0,772,0,140.091,3734258218
i-316,2,819,yes,2664,536,153,334,234,7786,0,130,0,60,819,0,33.2845,949445854
i-414,6,412,yes,20700,168,44,1715,270,13272,0,200,0,0,412,0,61.3513,3090652897
i-316,3,699,yes,2637,476,93,902,120,7259,0,130,0,0,699,0,32.6815,846990177
i-054,7,549,yes,68200,285,228,12670,18116,14400,0,36,0,0,549,0,145.135,2676739192
i-126,1,1044,yes,42630,96,16,7232,16808,5875,0,612,320,0,1044,0,145.435,588155342
i-414,7,788,yes,21096,456,132,3355,495,13832,0,200,0,0,788,0,60.8566,3570184362
i-316,4,606,yes,2616,344,132,114,126,7548,0,130,0,0,606,0,33.5258,2348375603
i-316,8,501,yes,2598,316,81,854,84,8007,0,104,0,60,501,0,33.5408,4192999804
i-316,5,449,yes,2499,244,75,370,72,7514,0,130,0,0,449,0,33.4479,3950071104
i-414,8,868,yes,21951,504,184,3440,605,13664,0,180,0,0,868,0,61.5196,2020254750
i-316,9,495,yes,2538,304,87,624,108,7463,0,104,0,0,495,0,33.0026,1234442168
i-316,6,276,yes,2406,124,48,278,18,7497,0,104,0,0,276,0,32.6035,2163535346
i-126,8,759,yes,43698,3,1,5832,17100,6533,0,595,160,0,759,0,138.98,973249991
i-263,7,140,yes,56448,0,0,10690,2502,4665,0,140,0,0,140,0,199.321,1806020858
i-316,7,247,yes,2532,104,39,698,0,7480,0,104,0,0,247,0,34.1654,1383883491
i-414,9,1546,yes,21456,1152,204,3030,875,16800,0,190,0,0,1546,0,60.1529,2493383087
i-054,8,565,yes,61936,285,228,15520,15253,17175,0,52,0,50,565,0,146.759,3247381115
i-185,2,1026,yes,20408,0,0,11100,513,18204,0,1026,0,0,1026,0,290.477,2130901275
i-247,2,200,yes,659,10,10,588,328,19894,0,0,180,60,200,0,24.7333,295964219
i-247,3,180,yes,649,0,0,600,349,19894,0,0,180,60,180,0,24.4623,239202913
i-247,4,306,yes,687,84,42,780,383,19894,0,0,180,60,306,0,20.8228,862308745
i-185,8,1080,yes,20076,0,0,11232,366,18463,0,1080,0,0,1080,0,303.518,1609266587
i-247,5,180,yes,674,0,0,330,351,19894,0,0,180,60,180,0,24.8137,1947084447
i-126,9,949,yes,42888,0,0,5312,16140,5311,0,629,320,0,949,0,146.376,2632302061
i-247,6,180,yes,665,0,0,552,339,19894,0,0,180,60,180,0,24.3527,3543840388
i-164,4,42,yes,59526,0,0,3966,872,13776,0,42,0,0,42,0,146.064,3127575192
i-247,7,180,yes,699,0,0,390,345,19894,0,0,180,60,180,0,24.0582,3283075388
i-054,9,553,yes,63776,285,228,14830,18256,20100,0,40,0,0,553,0,143.304,2666592749
i-247,8,180,yes,658,0,0,420,343,19894,0,0,180,60,180,0,23.9789,2455383332
i-247,9,264,yes,653,44,40,414,299,19894,0,0,180,60,264,0,24.2478,2614899510
i-414,0,160,yes,20565,0,0,2265,170,15344,0,160,0,0,160,0,60.468,1112903346
i-416,0,100,yes,85078,0,0,4095,2572,368,0,100,0,0,100,0,285.078,4256249550
i-416,6,112,yes,85610,0,0,2547,2848,430,0,112,0,0,112,0,275.374,4205562490
i-164,5,42,yes,57249,0,0,4356,1088,13776,0,42,0,0,42,0,143.753,572804505
i-414,1,678,yes,20619,392,96,2605,385,14224,0,190,0,0,678,0,59.1549,792437035
i-116,6,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.82229,2705235042
i-116,7,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.70112,3361319462
i-116,8,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.74145,242176889
i-175,0,396,yes,9182,0,0,56010,238,40139,0,396,0,0,396,0,218.78,2403536935
i-185,3,1044,yes,20360,0,0,10785,81,20017,0,1044,0,90,1044,0,294.25,2380284868
i-116,9,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.79394,2321333257
i-185,9,1080,yes,20628,0,0,12093,378,17649,0,1080,0,180,1080,0,305.76,2544909398
i-175,8,396,yes,9282,0,0,51750,264,45123,0,396,0,120,396,0,222.57,154455336
i-164,6,42,yes,59661,0,0,3792,1952,14432,0,42,0,0,42,0,146.011,2844731470
i-360,0,630,yes,55760,0,0,6160,426,4080,0,430,200,0,630,0,176.234,1199095271
i-416,1,116,yes,83181,0,0,4212,2600,562,0,116,0,0,116,0,287.896,4292043590
i-416,7,116,yes,83643,0,0,5652,2680,450,0,116,0,0,116,0,277.801,1810119410
i-054,0,561,yes,66416,285,228,16480,18704,12525,0,48,0,0,561,0,144.198,3762786071
i-175,1,378,yes,9000,0,0,48510,260,40673,0,378,0,60,378,0,215.282,3634304231
i-164,7,42,yes,59517,0,0,3024,1320,21566,0,42,0,0,42,0,141.917,736914763
i-185,4,1044,yes,19988,0,0,12630,441,16428,0,1044,0,0,1044,0,306.564,282887629
i-175,9,396,yes,9302,0,0,43760,76,49662,0,396,0,120,396,0,223.352,1207138047
i-116,0,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.8643,633120625
i-116,1,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.86976,3018963180
i-116,2,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.90483,3786749331
i-054,1,553,yes,65168,285,228,17570,19733,16350,0,40,0,0,553,0,146.005,2276707842
i-360,1,680,yes,54504,0,0,7145,360,5020,0,480,200,0,680,0,178.807,3189120939
i-116,3,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.83806,447581915
i-116,4,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,10.0066,1445252525
i-116,5,1669,yes,382,664,405,777,608,17424,0,0,600,0,1669,0,9.86091,1845802080
i-164,8,42,yes,57987,0,0,4152,1216,16072,0,42,0,0,42,0,142.989,3871772386
i-175,2,378,yes,9138,0,0,38420,32,43610,0,378,0,0,378,0,214.447,1235786728
i-416,2,144,yes,84665,0,0,3870,3352,352,0,144,0,0,144,0,274.497,2451086584
i-416,8,112,yes,84469,0,0,2142,2268,400,0,112,0,0,112,0,280.967,1316622345
i-054,2,565,yes,68424,285,228,13590,19194,17325,0,52,0,0,565,0,146.18,214588239
i-164,9,56,yes,59742,0,0,2988,984,15990,0,56,0,0,56,0,143.362,1132481668
i-360,2,650,yes,55544,0,0,6465,108,4440,0,450,200,0,650,0,173.782,2431392675
i-247,0,250,yes,708,52,18,756,400,19894,0,0,180,60,250,0,20.0066,3637987757
i-360,4,670,yes,53872,0,0,6010,258,5000,0,470,200,0,670,0,174.178,334795770
i-247,1,202,yes,692,16,6,720,378,19894,0,0,180,60,202,0,25.9869,1725319252
i-185,5,1080,yes,20272,0,0,11424,30,16983,0,1080,0,0,1080,0,296.098,4032319952
i-175,3,378,yes,8894,0,0,48330,20,46280,0,378,0,60,378,0,199.926,906841430
i-167,2,762,yes,9678,0,0,2511,3115,7812,0,162,600,0,762,0,59.9948,859682264
