instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-054,8,1543,yes,73816,490,228,1450,9170,825,0,168,2100,0,1543,0,107.314,2664894106
i-247,6,19894,yes,563,0,0,684,263,19894,0,0,1800,60,19894,0,7.51838,1406784685
i-247,7,19894,yes,565,0,0,798,207,19894,0,0,1800,60,19894,0,7.56302,2914920562
i-247,8,19894,yes,478,0,0,1344,223,19894,0,0,1980,60,19894,0,7.58571,3946380015
i-414,8,8864,yes,26163,2456,360,1760,1515,6048,0,360,0,0,8864,0,52.0077,1619502631
i-247,9,19894,yes,492,0,0,1272,153,19894,0,0,1800,60,19894,0,7.50695,3000414085
i-414,9,8076,yes,25497,1616,300,2220,1145,6160,0,320,0,0,8076,0,51.2059,1988697349
i-164,4,3864,yes,67392,360,60,1614,1392,3444,0,322,0,0,3864,0,119.185,191888460
i-416,0,60,yes,94227,0,0,1521,2532,60,0,1080,0,0,60,0,237.514,361828203
i-054,9,3872,yes,74728,2235,512,1800,11277,1125,0,192,1540,0,3872,0,109.084,3781648481
i-185,8,7400,yes,22364,0,0,12420,24,7400,0,5652,100,0,7400,0,260.065,2519361388
i-416,6,54,yes,95781,0,0,1764,2620,54,0,1056,0,0,54,0,227.309,3227996473
i-414,0,8040,yes,24597,1176,256,1475,1010,6608,0,300,0,0,8040,0,50.3985,3910123446
i-164,5,3362,yes,66870,0,0,1890,832,3362,0,280,0,0,3362,0,122.96,4158065881
i-185,2,7326,yes,22356,0,0,11904,9,7326,0,5580,100,0,7326,0,253.013,3887327558
i-414,1,8200,yes,23589,896,248,2945,730,7056,0,300,0,0,8200,0,49.5891,1309867494
i-116,6,16637,yes,391,1488,605,0,0,14544,0,0,600,0,16637,0,11.4515,4211825822
i-116,7,18519,yes,365,3232,815,0,0,14472,0,0,600,0,18519,0,13.8032,4104529654
i-116,8,16637,yes,391,1488,605,0,0,14544,0,0,600,0,16637,0,11.5781,916916409
i-116,9,16637,yes,391,1488,605,0,0,14544,0,0,600,0,16637,0,11.4857,2149240645
